timestamps,TP9,AF7,AF8,TP10,Right AUX
1732270584.698,-61.035,925.293,294.434,134.766,0.000
1732270584.702,-41.016,292.969,-133.789,-92.285,0.000
1732270584.706,31.738,-350.586,-443.359,-123.047,0.000
1732270584.710,86.914,20.508,-41.016,50.293,0.000
1732270584.714,104.492,719.238,347.168,223.633,0.000
1732270584.718,134.766,563.477,231.445,203.125,0.000
1732270584.722,149.902,-427.246,-270.508,-27.344,0.000
1732270584.726,137.207,-587.402,-344.727,-186.035,0.000
1732270584.729,184.570,281.738,197.754,13.672,0.000
1732270584.733,241.699,664.551,364.258,272.949,0.000
1732270584.737,235.840,673.340,283.203,250.488,0.000
1732270584.741,216.797,357.910,29.297,-7.324,0.000
1732270584.745,251.465,7.324,-236.328,-157.715,0.000
1732270584.749,271.973,45.898,-81.543,20.508,0.000
1732270584.753,274.414,526.855,258.789,231.445,0.000
1732270584.757,227.539,996.094,380.371,234.863,0.000
1732270584.761,129.883,570.312,102.539,29.297,0.000
1732270584.765,120.117,-279.785,-295.410,-117.188,0.000
1732270584.769,115.723,-276.367,-53.711,-8.301,0.000
1732270584.773,119.141,569.824,421.875,182.129,0.000
1732270584.776,120.605,-950.195,477.539,246.094,0.000
1732270584.780,101.074,312.500,91.797,60.547,0.000
1732270584.784,49.316,-101.562,-6.348,-196.777,0.000
1732270584.788,60.059,497.070,344.727,-114.258,0.000
1732270584.792,30.762,852.051,420.410,176.758,0.000
1732270584.796,-80.078,963.379,426.270,259.766,0.000
1732270584.800,-158.203,823.242,313.965,20.996,0.000
1732270584.804,-218.750,495.605,66.406,-212.402,0.000
1732270584.808,-186.523,354.004,49.316,-119.629,0.000
1732270584.812,-183.594,559.082,272.949,124.512,0.000
1732270584.816,-242.188,947.754,390.137,199.707,0.000
1732270584.820,-313.477,830.566,213.379,-8.301,0.000
1732270584.823,-352.539,96.680,-227.539,-171.387,0.000
1732270584.827,-351.074,-188.965,-243.164,-125.977,0.000
1732270584.831,-435.547,638.184,324.707,7.324,0.000
1732270584.835,-460.938,-934.570,448.730,159.180,0.000
1732270584.839,-455.078,720.703,197.266,29.297,0.000
1732270584.843,-650.879,343.750,-83.008,-378.418,0.000
1732270584.847,-604.980,472.656,-160.645,-398.438,0.000
1732270584.851,-377.930,846.191,141.113,84.473,0.000
1732270584.855,-443.848,991.211,358.887,361.328,0.000
1732270584.859,-552.734,932.129,204.102,208.008,0.000
1732270584.863,-595.215,605.957,-187.012,-110.352,0.000
1732270584.866,-465.820,590.820,-284.668,-201.660,0.000
1732270584.870,-190.918,513.672,-157.715,68.848,0.000
1732270584.874,-73.730,639.648,137.695,187.988,0.000
1732270584.878,-65.918,-992.676,284.180,56.641,0.000
1732270584.882,28.320,630.371,-150.879,-117.188,0.000
1732270584.886,145.020,331.543,-303.223,-244.629,0.000
1732270584.890,236.328,706.055,74.707,-74.219,0.000
1732270584.894,296.875,988.281,358.887,152.344,0.000
1732270584.898,296.387,973.145,294.922,137.207,0.000
1732270584.902,254.883,741.699,-104.004,-94.727,0.000
1732270584.906,269.531,341.797,-437.500,-234.863,0.000
1732270584.909,266.113,571.289,-228.516,-44.922,0.000
1732270584.913,263.184,933.105,13.672,221.680,0.000
1732270584.917,196.289,909.668,-56.152,238.770,0.000
1732270584.921,220.215,752.441,-278.809,-15.137,0.000
1732270584.925,429.688,415.527,-502.441,-158.691,0.000
1732270584.929,376.953,533.203,-458.984,17.578,0.000
1732270584.933,-3.418,891.113,-240.723,265.625,0.000
1732270584.937,-475.586,994.629,-153.809,282.715,0.000
1732270584.941,-718.750,952.637,-355.469,39.062,0.000
1732270584.945,-515.625,593.262,-505.371,-158.203,0.000
1732270584.949,-161.133,609.375,-286.621,-22.461,0.000
1732270584.952,95.703,916.992,110.352,243.164,0.000
1732270584.956,182.129,-934.082,293.945,273.926,0.000
1732270584.960,249.512,511.719,-155.762,116.699,0.000
1732270584.964,260.742,-16.113,-488.281,-98.633,0.000
1732270584.968,224.121,587.402,-179.688,-86.914,0.000
1732270584.972,143.066,919.434,137.695,168.457,0.000
1732270584.976,29.297,955.078,328.613,284.668,0.000
1732270584.980,-36.621,932.129,149.414,99.121,0.000
1732270584.984,-101.074,678.711,-220.703,-115.234,0.000
1732270584.988,-9.766,398.438,-288.086,-48.828,0.000
1732270584.992,39.062,563.477,41.992,178.711,0.000
1732270584.995,-39.551,966.797,348.633,275.391,0.000
1732270584.999,-76.172,848.145,115.234,117.676,0.000
1732270585.003,-51.270,154.785,-375.000,-99.121,0.000
1732270585.007,3.418,-265.137,-430.664,-104.492,0.000
1732270585.011,-26.855,514.648,139.160,73.242,0.000
1732270585.015,-46.875,-931.152,439.453,253.906,0.000
1732270585.019,-48.340,810.547,135.742,180.176,0.000
1732270585.023,-68.848,472.168,-270.996,-65.430,0.000
1732270585.027,-37.109,395.020,-310.059,-120.117,0.000
1732270585.031,-11.719,748.535,78.613,113.281,0.000
1732270585.035,21.484,874.512,276.367,301.758,0.000
1732270585.038,-7.324,912.598,215.820,185.547,0.000
1732270585.042,-59.570,684.082,-110.352,-71.777,0.000
1732270585.046,-22.949,233.398,-373.047,-145.996,0.000
1732270585.050,23.926,150.391,-245.605,98.633,0.000
1732270585.054,8.789,508.789,85.449,270.996,0.000
1732270585.058,-24.902,-952.148,369.629,159.180,0.000
1732270585.062,-22.461,793.457,19.531,-45.410,0.000
1732270585.065,-14.648,388.184,-316.406,-160.645,0.000
1732270585.069,9.766,713.867,35.645,12.207,0.000
1732270585.074,40.039,-991.699,413.574,225.586,0.000
1732270585.077,72.266,957.031,318.848,229.004,0.000
1732270585.081,105.469,704.102,-28.320,-9.766,0.000
1732270585.085,118.164,463.867,-204.102,-198.242,0.000
1732270585.089,138.672,739.258,110.352,-42.480,0.000
1732270585.093,161.133,958.984,321.777,205.566,0.000
1732270585.097,95.703,766.602,242.676,219.238,0.000
1732270585.101,-40.527,676.270,125.488,-82.031,0.000
1732270585.105,-98.633,455.078,-135.742,-258.301,0.000
1732270585.108,-84.473,453.125,-28.809,-105.469,0.000
1732270585.112,-163.574,841.797,315.918,87.402,0.000
1732270585.116,-308.105,-996.094,424.316,130.371,0.000
1732270585.120,-237.305,927.734,169.922,-53.223,0.000
1732270585.124,-87.891,414.551,-282.715,-248.047,0.000
1732270585.128,-36.133,474.121,-107.422,-177.734,0.000
1732270585.132,30.273,963.867,346.680,70.312,0.000
1732270585.136,82.031,-980.469,399.902,177.246,0.000
1732270585.140,92.285,695.801,97.168,-12.207,0.000
1732270585.144,70.312,165.039,-261.230,-238.770,0.000
1732270585.147,46.387,432.617,-53.223,-210.449,0.000
1732270585.151,59.082,938.477,327.148,63.965,0.000
1732270585.155,41.016,829.102,279.297,189.453,0.000
1732270585.159,19.531,797.363,162.598,-47.363,0.000
1732270585.163,-15.137,513.184,-107.422,-234.863,0.000
1732270585.167,-62.012,257.324,-227.539,-197.266,0.000
1732270585.171,-3.418,699.707,176.758,26.855,0.000
1732270585.175,-13.672,969.727,422.363,166.504,0.000
1732270585.179,-75.195,-992.676,291.992,23.438,0.000
1732270585.183,-88.867,661.133,-122.559,-205.566,0.000
1732270585.187,-65.430,186.035,-336.426,-241.699,0.000
1732270585.191,-63.965,609.863,94.727,-34.668,0.000
1732270585.194,-106.445,-961.914,425.293,118.652,0.000
1732270585.198,-123.535,881.348,257.324,45.410,0.000
1732270585.202,-183.594,379.883,-170.898,-178.711,0.000
1732270585.206,-246.094,437.988,-191.406,-293.945,0.000
1732270585.210,-183.105,859.863,208.984,-68.359,0.000
1732270585.214,-145.996,943.359,364.746,133.789,0.000
1732270585.218,-137.695,963.379,278.809,106.445,0.000
1732270585.222,-110.840,848.145,11.719,-138.672,0.000
1732270585.226,-60.547,600.586,-225.098,-248.535,0.000
1732270585.230,-31.738,595.703,-50.293,-33.691,0.000
1732270585.234,-6.836,843.750,253.418,176.270,0.000
1732270585.237,-37.109,993.652,348.633,176.270,0.000
1732270585.241,-104.492,890.137,158.203,-59.570,0.000
1732270585.245,-30.273,76.660,-325.684,-173.340,0.000
1732270585.249,-41.016,164.062,-66.406,-27.344,0.000
1732270585.253,-105.957,-985.840,465.820,152.344,0.000
